Arabic,English,Category,Region,Latitude,Longitude,Source display
فيري غلين,The Fairy Glen Skye,طبيعة,جزيرة سكاي,57.5826056,-6.3279261,"Fairy Glen, Sheader, Ùige, Highland, Alba / Scotland, United Kingdom"
براذرز بوينت,Brother's Point,ساحل وممشى,جزيرة سكاي,57.5865424,-6.1391226,"Rubha nam Bràithrean, Stafainn, Highland, Alba / Scotland, United Kingdom"
ميناء إلجول,Elgol Harbour,ميناء ومطل,جزيرة سكاي,57.1456938,-6.104472,"Elgol Jetty Road, Elgol, Highland, Alba / Scotland, IV49 9BJ, United Kingdom"
مطل بواخيل إتيف مور,Buachaille Etive Mor Viewpoint,مطل,غلينكو,56.6339671,-4.9367794,"Buachaille Etive Mòr, Highland, Alba / Scotland, United Kingdom"
مطل لوخ أختريوختان,Loch Achtriochtan Viewpoint,مطل,غلينكو,56.6653356,-5.0335274,"Loch Achtriochtan, Highland, Alba / Scotland, United Kingdom"
شاطئ لوخ مورليتش,Loch Morlich Beach,بحيرة وشاطئ,أفيمور,57.1633251,-3.7141974,"Loch Morlich, Glenmore, Highland, Alba / Scotland, United Kingdom"
غابة روثيميركوس,Rothiemurchus Forest,غابة,أفيمور,57.1535285,-3.8248186,"Rothiemurchus, Loch an Eilean Road, Highland, Alba / Scotland, United Kingdom"
مركز لوخ غارتن للطبيعة,RSPB Loch Garten Nature Centre,محمية وطبيعة,أفيمور,57.2444514,-3.6905028,"RSPB Loch Garten Osprey Centre, C1130, Highland, Alba / Scotland, PH25 3HA, United Kingdom"
مضيق كيليكرانكي,Killiecrankie Gorge,مضيق وممشى,بيتلوتشري,56.7391985,-3.7747241,"Pass of Killiecrankie, Old Faskally, Killiecrankie, Perth and Kinross, Alba / Scotland, PH16 5LG, United Kingdom"
قفزة الجندي,Soldier's Leap Killiecrankie,معلم طبيعي,كيليكرانكي,56.7422963,-3.7750858,"The Soldier's Leap, B8079, Old Faskally, Killiecrankie, Perth and Kinross, Alba / Scotland, PH16 5LQ, United Kingdom"
هايلاند شوكولاتير,The Highland Chocolatier,شوكولاتة ومقهى,غراندتولي,56.6577543,-3.7748665,"Highland Chocolatier, The Paddock, Grandtully, Perth and Kinross, Alba / Scotland, PH9 0PL, United Kingdom"
ذا لودج فورست فيزيتور سنتر,The Lodge Forest Visitor Centre,غابة ومركز زوار,أبيرفويل,56.1824558,-4.3856247,"The Lodge, A821, Kirkton, Aberfoyle, Stirling, Alba / Scotland, FK8 3SR, United Kingdom"
وايلد شور دندي,Wildshore Dundee,ترفيه مائي,دندي,56.461314,-2.9621317,"Wild Shore Dundee, West Victoria Dock Road, Central Waterfront, City Quay, Dundee, Dundee City, Alba / Scotland, DD1 3JP, United Kingdom"
غري ميرز تيل,Grey Mare's Tail Nature Reserve,شلال ومحمية,موفات,55.0252352,-4.3621325,"Grey Mare's Tail, Dumfries and Galloway, Alba / Scotland, United Kingdom"
قلعة وحدائق دراملانريغ,Drumlanrig Castle and Gardens,قلعة وحدائق,دومفريز وغالاوي,55.2740745,-3.8083718,"Drumlanrig Castle, Red Route, Thornhill, Dumfries and Galloway, Alba / Scotland, DG3 4AQ, United Kingdom"
ويغتاون بلدة الكتب,Wigtown Book Town,بلدة ثقافية,ويغتاون,54.8687022,-4.4415694,"Wigtown, Dumfries and Galloway, Alba / Scotland, DG8 9JH, United Kingdom"
كيلبورن كاسل إستيت,Kelburn Castle and Estate,قلعة وحدائق,أيرشاير,55.7708297,-4.8432288,"Kelburn Castle, Viewpoint Path, Fairlie, North Ayrshire, Alba / Scotland, KA29 0BE, United Kingdom"
قلعة وحدائق بروديك,Brodick Castle Garden and Country Park,قلعة ومنتزه,جزيرة أران,55.5939276,-5.1507477,"Brodick Castle, North Ayrshire, Alba / Scotland, KA27 8HY, United Kingdom"
دوائر ماتشري مور الحجرية,Machrie Moor Stone Circles,موقع أثري,جزيرة أران,55.5778005,-5.3459848,"Cafe Thyme, A841, Auchencar, North Ayrshire, Alba / Scotland, KA27 8EB, United Kingdom"
وست كيلبرايد بلدة الحرف,West Kilbride Craft Town,بلدة وتسوق,أيرشاير,55.6964342,-4.8513782,"West Kilbride, The Orchards, West Kilbride, North Ayrshire, Alba / Scotland, KA23 9DD, United Kingdom"
قلعة ومتحف دونولي,Dunollie Museum Castle and Grounds,قلعة ومتحف,أوبان,56.4265562,-5.4845586,"Dunollie Castle, Ganavan Road, Little Ganavan, Dunollie, Oban, Argyll and Bute, Alba / Scotland, PA34 5TT, United Kingdom"
خليج كالغاري,Calgary Bay Mull,شاطئ,جزيرة مول,56.5693134,-6.3046647,"Calgary Bay, Calgary, Argyll and Bute, Alba / Scotland, United Kingdom"
قلعة ومتحف لويس,Lews Castle Museum nan Eilean,قصر ومتحف,جزيرة لويس,58.2116071,-6.3943041,"Caisteal Leòdhais, Paranoid, Ceann a' Bhàigh, Steòrnabhagh, Na h-Eileanan Siar, Alba / Scotland, HS2 0XS, United Kingdom"
مطل سيليبوست,Seilebost Viewpoint,مطل,هاريس,57.8654356,-6.9494431,"Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom"
منحدرات يسنابي,Yesnaby Cliffs,ساحل ومطل,أوركني,59.0230292,-3.3477718,"Yesnaby, Orkney Islands, Alba / Scotland, United Kingdom"
منحدرات إشانيس,Eshaness Cliffs,ساحل ومطل,شيتلاند,60.4723801,-1.6311952,"Skerry of Eshaness, Shetland Islands, Alba / Scotland, United Kingdom"
مطل موكل فلوغا,Muckle Flugga Viewpoint,مطل,شيتلاند,60.8539195,-0.8865504,"Muckle Flugga, Unst, Shetland Islands, Alba / Scotland, United Kingdom"
داماسكينو,Damasqino Restaurant & Cafe,مطعم حلال,غلاسكو,55.85549,-4.245318,"94 Saltmarket, Glasgow G1 5LD, Scotland"
شاطئ كورال,Coral Beach Skye,شاطئ,جزيرة سكاي,57.50085,-6.63713,"Coral Beach, Claigan, Isle of Skye, Scotland"
رصيف سانت أندروز,St Andrews Pier,رصيف,سانت أندروز,56.339722,-2.783056,"Pier, St Andrews, Fife, Scotland"
ميناء سانت مونانز,St Monans Harbour,ميناء,فايف,56.20372,-2.76561,"St Monans Harbour, Fife, Scotland"
النسيج العظيم لاسكتلندا,The Great Tapestry of Scotland,متحف وتجربة ثقافية,غالا شيلز,55.617406,-2.809538,"14-20 High Street, Galashiels TD1 1SD, Scotland"
غالاوي فورست بارك,Galloway Forest Park,غابة ومنتزه,دومفريز وغالاوي,55.126944,-4.430278,"Galloway Forest Park, Scotland"
كيتشن كوز آند يوز,Kitchen Coos and Ewes,مزرعة وتجربة,دومفريز وغالاوي,54.921194,-4.879194,"High Airyolland Farm, New Luce, Newton Stewart DG8 0AU, Scotland"
شاطئ كيلدونان,Kildonan Beach Arran,شاطئ,جزيرة أران,55.4401,-5.145,"Kildonan Beach, Isle of Arran, Scotland"
ميناء توبرموري,Tobermory Harbour,ميناء,جزيرة مول,56.62017,-6.06647,"Tobermory Harbour, Isle of Mull, Scotland"
